code;libelle;type;source;documentMaitre;reprises;typesMarche;categories;condition;obligatoire;texteType;controle;options;cleCadrage;clePpm;actif
B02-SW-01;Personne responsable des marchés passés sur la base du contrat-cadre;TEXTE;SAISIE;AE;;CONTRAT_CADRE;TRAVAUX;;oui;;;;;;oui
B02-SW-02;Délégation de la personne responsable (décision et date);TEXTE;SAISIE;AE;;CONTRAT_CADRE;TRAVAUX;;non;;;;;;oui
B02-SW-03;Nature, numéro et date de l'acte de nomination;TEXTE;SAISIE;AE;;CONTRAT_CADRE;TRAVAUX;;non;;;;;;non
B02-OC-01;Objet du contrat-cadre;TEXTE_LONG;SAISIE;DPAC;AE;CONTRAT_CADRE;TRAVAUX;;oui;;;;;;oui
B02-OC-02;Localité dans laquelle les travaux seront exécutés;TEXTE_LONG;SAISIE;DPAC;AE;CONTRAT_CADRE;TRAVAUX;;oui;;;;;;oui
B02-DK-01;Décomposition de la consultation;LISTE;CADRAGE;DPAC;AE;CONTRAT_CADRE;TRAVAUX;;non;;;;alloti;;oui
B02-DK-02;Énumération des lots concernés;TEXTE_LONG;SAISIE;DPAC;AE;CONTRAT_CADRE;TRAVAUX;alloti = OUI;oui;;;;;;oui
B02-DK-03;Durée maximale de validité du contrat-cadre (mois);NOMBRE;SAISIE;DPAC;AE;CONTRAT_CADRE;TRAVAUX;;oui;;;;;;oui
B02-DK-04;Durée du contrat fixée au cahier des clauses;OUI_NON;SAISIE;DPAC;AE;CONTRAT_CADRE;TRAVAUX;;non;;;;;;oui
B02-DK-05;Modalités de financement et de paiement;TEXTE_LONG;SAISIE;DPAC;AE;CONTRAT_CADRE;TRAVAUX;;oui;;;;;;oui
B02-MC-01;Maîtrise d'œuvre : dénomination et adresse;TEXTE_LONG;SAISIE;DPAC;AE;CONTRAT_CADRE;TRAVAUX;;oui;;;;;;oui
B02-MC-02;Maîtrise d'œuvre : nom et prénoms du représentant;TEXTE;SAISIE;DPAC;AE;CONTRAT_CADRE;TRAVAUX;;oui;;;;;;oui
B02-CT-01;Contrôle technique prévu pour l'opération;OUI_NON;SAISIE;DPAC;AE;CONTRAT_CADRE;TRAVAUX;;oui;;;;;;oui
B02-CT-02;Personne chargée du contrôle technique;TEXTE_LONG;SAISIE;DPAC;AE;CONTRAT_CADRE;TRAVAUX;;non;;;;;;oui
B02-SN-01;Signature du titulaire : lieu, date, nom et prénoms;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;TRAVAUX;;oui;;;;;;oui
B02-SN-02;Mise au point du contrat-cadre;LISTE;SAISIE;AE;;CONTRAT_CADRE;TRAVAUX;;oui;;;A fait l'objet d'une mise au point jointe en annexe,N'a pas fait l'objet d'une mise au point;;;oui
