code;libelle;type;source;documentMaitre;reprises;typesMarche;categories;condition;obligatoire;texteType;controle;options;cleCadrage;clePpm;actif
B02-MW-01;Maître d'œuvre : nom et coordonnées;TEXTE_LONG;SAISIE;AE;CCAP;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;;oui;;;;;;oui
B02-MW-02;Références du lien contractuel entre le maître de l'ouvrage et le maître d'œuvre;TEXTE_LONG;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;;non;;;;;;oui
B02-MW-03;Imputation budgétaire;TEXTE;SAISIE;AE;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;;oui;;;;;;oui
B02-OT-01;Projet ou opération plus vaste dont le marché fait partie;TEXTE_LONG;SAISIE;DPAO;CCAP;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;;non;;;;;;oui
B02-OT-02;Consistance des travaux à exécuter;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;;oui;;;;;;oui
B02-LT-01;Description du projet global;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;alloti = NON;oui;;;;;;oui
B02-LT-02;Attribution des lots;LISTE;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;alloti = OUI;oui;;;Divisible,Totalité des lots;;;oui
B02-LT-03;Objet et montant de la tranche ferme;TEXTE_LONG;SAISIE;DPAO;AE,CCAP;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;tranches = OUI;oui;;;;;;oui
B02-LT-04;Objet et montant de la tranche conditionnelle 1;TEXTE_LONG;SAISIE;DPAO;AE,CCAP;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;tranches = OUI;non;;;;;;oui
B02-LT-05;Objet et montant de la tranche conditionnelle 2;TEXTE_LONG;SAISIE;DPAO;AE,CCAP;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;tranches = OUI;non;;;;;;oui
B03-GT-01;Forme du groupement;LISTE;CADRAGE;DPAO;CCAP;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;groupement = OUI;non;;;;formeGroupement;;oui
B03-GT-02;Identification de chacun des membres du groupement;TEXTE_LONG;SAISIE;AE;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;groupement = OUI;oui;;;;;;oui
B03-GT-03;Qualification des membres d'un groupement d'entreprises;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;groupement = OUI;oui;;;;;;oui
B03-GT-04;Groupement conjoint : conditions particulières;TEXTE_LONG;SAISIE;DPAO;AE;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;groupement = OUI;non;;;;;;oui
B03-GT-05;Groupement solidaire : conditions particulières;TEXTE_LONG;SAISIE;DPAO;AE;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;groupement = OUI;non;;;;;;oui
B03-QT-01;Identification et situation juridique;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;;oui;;;;;;oui
B03-QT-02;Capacité technique;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;;oui;;;;;;oui
B03-QT-03;Capacité financière;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;;oui;;;;;;oui
B03-QT-04;Marchés similaires réalisés au cours des trois dernières années;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;;oui;;;;;;oui
B03-QT-05;Communautés locales et organisations non gouvernementales admises;OUI_NON;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;;non;;;;;;oui
B03-QT-06;Qualifications particulières requises;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;;non;;;;;;oui
B03-QT-07;Chiffre d'affaires annuel minimum exigé pour des travaux de construction (Ariary);MONTANT;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;;oui;;MONTANT_POSITIF;;;;oui
B03-QT-08;Projet de nature et de complexité comparables réalisé comme entrepreneur principal;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;TRAVAUX;;oui;;;;;;oui
