code;libelle;type;source;documentMaitre;reprises;typesMarche;condition;obligatoire;texteType;controle;options;cleCadrage;clePpm;actif
B02-OE-01;Numéro de l'appel d'offres, de la consultation ou du contrat-cadre;TEXTE;SAISIE;DPAC;AE;CONTRAT_CADRE;;oui;;;;;;oui
B02-SG-01;Personne responsable des marchés passés sur la base du contrat-cadre;TEXTE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B02-SG-02;Délégation de la personne responsable (décision et date);TEXTE;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B02-SG-03;Nature, numéro et date de l'acte de nomination;TEXTE;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;non
B02-PC-01;Référence de l'article du code des marchés publics de la procédure choisie;TEXTE;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B02-PC-02;Rythme de passation des marchés subséquents;LISTE;SAISIE;DPAC;AE;CONTRAT_CADRE;;oui;;;Au fur et à mesure des besoins,Selon le calendrier fixé ci-après;;;oui
B02-PC-03;Calendrier de remise en concurrence des titulaires;TEXTE_LONG;SAISIE;DPAC;AE;CONTRAT_CADRE;;non;;;;;;oui
B02-DC-01;Durée maximale du contrat-cadre (mois);NOMBRE;SAISIE;AE;DPAC;CONTRAT_CADRE;;oui;;;;;;oui
B02-DC-02;Durée de validité du contrat-cadre (mois);NOMBRE;SAISIE;AE;DPAC;CONTRAT_CADRE;;oui;;;;;;oui
B02-DC-03;Contrat-cadre reconductible;OUI_NON;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B02-DC-04;Conditions de reconduction de la période de validité;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B02-AL-02;Numéro et désignation des lots;TEXTE_LONG;SAISIE;DPAC;AE;CONTRAT_CADRE;alloti = OUI;oui;;;;;;oui
B02-AL-03;Contrat-cadre mono ou multi-attributaire;LISTE;CADRAGE;AE;DPAC;CONTRAT_CADRE;;non;;;;attributaires;;oui
B03-TI-01;Dénomination sociale du titulaire;TEXTE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B03-TI-02;Siège social du titulaire;TEXTE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B03-TI-03;Numéro d'identification fiscale (NIF) du titulaire;TEXTE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B03-TI-04;Nom du représentant du titulaire;TEXTE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B03-TI-05;Qualité du représentant du titulaire;LISTE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;Représentant légal de l'entreprise,Ayant reçu pouvoir du représentant légal;;;oui
B03-GC-02;Dénomination sociale du membre du groupement;TEXTE;SAISIE;AE;;CONTRAT_CADRE;groupement = OUI;oui;;;;;;oui
B03-GC-03;Siège social du membre du groupement;TEXTE;SAISIE;AE;;CONTRAT_CADRE;groupement = OUI;oui;;;;;;oui
B03-GC-04;Numéro d'identification fiscale (NIF) du membre du groupement;TEXTE;SAISIE;AE;;CONTRAT_CADRE;groupement = OUI;oui;;;;;;oui
B03-GC-05;Nom du représentant du membre du groupement;TEXTE;SAISIE;AE;;CONTRAT_CADRE;groupement = OUI;oui;;;;;;oui
B03-GC-06;Qualité du représentant du membre du groupement;LISTE;SAISIE;AE;;CONTRAT_CADRE;groupement = OUI;oui;;;Représentant légal de l'entreprise,Ayant reçu pouvoir du représentant légal;;;oui
B03-SS-01;Désignation des sous-traitants des marchés subséquents;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B03-SS-02;Modalités de paiement direct des sous-traitants;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B04-DS-01;Contenu du dossier de consultation;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B04-DS-02;Langue du dossier de consultation et des offres;TEXTE;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B04-DS-03;Modalités d'acquisition du dossier de consultation;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B04-DS-04;Adresse de retrait du dossier de consultation;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B04-DS-05;Montant à payer pour le dossier de consultation (Ariary);MONTANT;SAISIE;DPAC;;CONTRAT_CADRE;;non;;MONTANT_POSITIF;;;;oui
B04-DS-06;Modification du dossier de consultation;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;non;;;;;;oui
B04-PO-01;Pièces constitutives de la candidature (capacités technique et professionnelle);TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B04-PO-02;Pièces constitutives de l'offre;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B04-RQ-01;Modalités de remise des offres sous support papier;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B04-RQ-02;Objet du contrat-cadre à porter sur le pli;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B04-RQ-03;Adresse exacte de remise des offres;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B04-RQ-04;Transmission électronique des offres admise;OUI_NON;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B04-RQ-05;Modalités d'envoi des dossiers par voie électronique;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;non;;;;;;oui
B04-RC-01;Adresse à laquelle adresser les demandes d'informations;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B04-RC-02;Délai de réponse aux demandes d'informations (jours);NOMBRE;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B04-CP-01;Date de lancement de la mise en concurrence;DATE;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;DATES_ORDRE:LANCEMENT;;;;oui
B04-CP-02;Date et heure limites de remise des offres;DATE;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;DATES_ORDRE:REMISE;;;;oui
B04-CP-03;Date de début de la séance d'évaluation des offres et candidatures;DATE;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;DATES_ORDRE:OUVERTURE;;;;oui
B04-CP-04;Date d'attribution du contrat-cadre;DATE;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;DATES_ORDRE:ATTRIBUTION;;;;oui
B04-CP-05;Date de notification du contrat-cadre au(x) titulaire(s);DATE;SAISIE;DPAC;;CONTRAT_CADRE;;non;;DATES_ORDRE:NOTIFICATION;;;;oui
B05-UM-01;Monnaie en devise (appel d'offres international);TEXTE;SAISIE;DPAC;AE;CONTRAT_CADRE;;non;;;;;;oui
B05-MT-01;Montant indicatif du contrat-cadre hors taxes (Ariary);MONTANT;SAISIE;AE;DPAC;CONTRAT_CADRE;;oui;;MONTANT_POSITIF;;;;oui
B05-MT-02;Montant indicatif du contrat-cadre toutes taxes comprises (Ariary);MONTANT;SAISIE;AE;DPAC;CONTRAT_CADRE;;oui;;MONTANT_POSITIF;;;;oui
B05-PM-01;Forme de prix des marchés subséquents (mono-attributaire);LISTE;SAISIE;AE;DPAC;CONTRAT_CADRE;attributaires = MONO;oui;;;Prix unitaires,Prix forfaitaires,Prix mixtes;;;oui
B05-PM-02;Le prix est un critère d'attribution du contrat-cadre (multi-attributaire);OUI_NON;SAISIE;AE;DPAC;CONTRAT_CADRE;attributaires = MULTI;oui;;;;;;oui
B05-PM-03;Contenu des prix;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
